date,race_number,header,details,sectional_times,videos
2025-04-13,1,RACE 1 (581),"[['RACE 1 (581)', '', ''], ['', '', ''], ['Griffin Race - 1000M', 'Going :', 'GOOD'], ['RACING FOR CHARITY 1000M PLATE', 'Course :', 'TURF - ""C"" Course'], ['HK$ 950,000', 'Time :', '(13.15)', '(34.03)', '(56.65)'], ['', 'Sectional Time :', '13.15', '20.8810.24\xa0\xa010.64', '22.6210.96\xa0\xa011.66']]","['', 'Sectional Time :', '13.15', '20.8810.24\xa0\xa010.64', '22.6210.96\xa0\xa011.66']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20250413&no=01&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20250413&no=01&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20250413&no=01&lang=eng'}]"
2025-04-13,6,RACE 6 (586),"[['RACE 6 (586)', '', ''], ['', '', ''], ['Class 4 - 1400M - (60-40)', 'Going :', 'GOOD'], ['THRIVING YOUTH 1400M HANDICAP', 'Course :', 'TURF - ""C"" Course'], ['HK$ 1,170,000', 'Time :', '(13.40)', '(34.97)', '(58.06)', '(1:21.57)'], ['', 'Sectional Time :', '13.40', '21.57', '23.0911.49\xa0\xa011.60', '23.5111.41\xa0\xa012.10']]","['', 'Sectional Time :', '13.40', '21.57', '23.0911.49\xa0\xa011.60', '23.5111.41\xa0\xa012.10']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20250413&no=06&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20250413&no=06&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20250413&no=06&lang=eng'}]"
2025-04-13,7,RACE 7 (587),"[['RACE 7 (587)', '', ''], ['', '', ''], ['Class 4 - 1400M - (60-40)', 'Going :', 'GOOD'], ['POSITIVE AGEING 1400M HANDICAP', 'Course :', 'TURF - ""C"" Course'], ['HK$ 1,170,000', 'Time :', '(13.34)', '(34.32)', '(57.56)', '(1:21.71)'], ['', 'Sectional Time :', '13.34', '20.98', '23.2411.40\xa0\xa011.84', '24.1511.88\xa0\xa012.27']]","['', 'Sectional Time :', '13.34', '20.98', '23.2411.40\xa0\xa011.84', '24.1511.88\xa0\xa012.27']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20250413&no=07&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20250413&no=07&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20250413&no=07&lang=eng'}]"
2025-04-13,8,RACE 8 (588),"[['RACE 8 (588)', '', ''], ['', '', ''], ['Class 1 - 1400M - (85+)', 'Going :', 'GOOD'], ['HEALTHY COMMUNITY 1400M HANDICAP', 'Course :', 'TURF - ""C"" Course'], ['HK$ 3,720,000', 'Time :', '(13.81)', '(36.06)', '(58.16)', '(1:20.69)'], ['', 'Sectional Time :', '13.81', '22.25', '22.1010.93\xa0\xa011.17', '22.5310.96\xa0\xa011.57']]","['', 'Sectional Time :', '13.81', '22.25', '22.1010.93\xa0\xa011.17', '22.5310.96\xa0\xa011.57']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20250413&no=08&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20250413&no=08&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20250413&no=08&lang=eng'}]"
2025-04-13,4,RACE 4 (584),"[['RACE 4 (584)', '', ''], ['', '', ''], ['Class 4 - 1200M - (60-40)', 'Going :', 'GOOD'], ['JC CAMPSITE REIMAGINATION PROJECT 1200M HANDICAP', 'Course :', 'TURF - ""C"" Course'], ['HK$ 1,170,000', 'Time :', '(23.62)', '(45.37)', '(1:09.04)'], ['', 'Sectional Time :', '23.62', '21.7510.66\xa0\xa011.09', '23.6711.49\xa0\xa012.18']]","['', 'Sectional Time :', '23.62', '21.7510.66\xa0\xa011.09', '23.6711.49\xa0\xa012.18']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20250413&no=04&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20250413&no=04&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20250413&no=04&lang=eng'}]"
2025-04-13,5,RACE 5 (585),"[['RACE 5 (585)', '', ''], ['', '', ''], ['Class 2 - 1200M - (100-75)', 'Going :', 'GOOD'], ['THE HONG KONG JOCKEY CLUB COMMUNITY TROPHY (HANDICAP)', 'Course :', 'TURF - ""C"" Course'], ['HK$ 2,840,000', 'Time :', '(23.08)', '(44.85)', '(1:08.37)'], ['', 'Sectional Time :', '23.08', '21.7710.53\xa0\xa011.24', '23.5211.44\xa0\xa012.08']]","['', 'Sectional Time :', '23.08', '21.7710.53\xa0\xa011.24', '23.5211.44\xa0\xa012.08']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20250413&no=05&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20250413&no=05&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20250413&no=05&lang=eng'}]"
2025-04-13,9,RACE 9 (589),"[['RACE 9 (589)', '', ''], ['', '', ''], ['Class 3 - 1000M - (80-60)', 'Going :', 'GOOD'], ['NURTURING TALENT 1000M HANDICAP', 'Course :', 'TURF - ""C"" Course'], ['HK$ 1,860,000', 'Time :', '(12.85)', '(33.78)', '(56.75)'], ['', 'Sectional Time :', '12.85', '20.9310.29\xa0\xa010.64', '22.9711.29\xa0\xa011.68']]","['', 'Sectional Time :', '12.85', '20.9310.29\xa0\xa010.64', '22.9711.29\xa0\xa011.68']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20250413&no=09&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20250413&no=09&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20250413&no=09&lang=eng'}]"
2025-04-13,10,RACE 10 (590),"[['RACE 10 (590)', '', ''], ['', '', ''], ['Class 3 - 1800M - (80-60)', 'Going :', 'GOOD'], ['ADVANCING CULTURE & SPORTS 1800M HANDICAP', 'Course :', 'TURF - ""C"" Course'], ['HK$ 2,050,000', 'Time :', '(13.88)', '(36.23)', '(1:00.23)', '(1:23.94)', '(1:47.04)'], ['', 'Sectional Time :', '13.88', '22.35', '24.00', '23.7111.87\xa0\xa011.84', '23.1011.27\xa0\xa011.83']]","['', 'Sectional Time :', '13.88', '22.35', '24.00', '23.7111.87\xa0\xa011.84', '23.1011.27\xa0\xa011.83']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20250413&no=10&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20250413&no=10&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20250413&no=10&lang=eng'}]"
2025-04-13,2,RACE 2 (582),"[['RACE 2 (582)', '', ''], ['', '', ''], ['Class 4 - 1000M - (60-40)', 'Going :', 'GOOD'], ['JC ECHOES OF LOVE FUND 1000M HANDICAP', 'Course :', 'TURF - ""C"" Course'], ['HK$ 1,170,000', 'Time :', '(12.87)', '(33.98)', '(56.83)'], ['', 'Sectional Time :', '12.87', '21.1110.36\xa0\xa010.75', '22.8511.11\xa0\xa011.74']]","['', 'Sectional Time :', '12.87', '21.1110.36\xa0\xa010.75', '22.8511.11\xa0\xa011.74']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20250413&no=02&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20250413&no=02&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20250413&no=02&lang=eng'}]"
2025-04-13,3,RACE 3 (583),"[['RACE 3 (583)', '', ''], ['', '', ''], ['Class 5 - 1200M - (40-0)', 'Going :', 'GOOD'], ['CLAP@JC 1200M HANDICAP', 'Course :', 'TURF - ""C"" Course'], ['HK$ 875,000', 'Time :', '(24.75)', '(47.68)', '(1:10.19)'], ['', 'Sectional Time :', '24.75', '22.9311.44\xa0\xa011.49', '22.5110.84\xa0\xa011.67']]","['', 'Sectional Time :', '24.75', '22.9311.44\xa0\xa011.49', '22.5110.84\xa0\xa011.67']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20250413&no=03&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20250413&no=03&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20250413&no=03&lang=eng'}]"
2023-09-17,1,RACE 1 (19),"[['RACE 1 (19)', '', ''], ['', '', ''], ['Class 3 - 1200M - (80-60)', 'Going :', 'GOOD'], ['TAI HANG HANDICAP', 'Course :', 'ALL WEATHER TRACK'], ['HK$ 1,860,000', 'Time :', '(23.53)', '(45.37)', '(1:08.93)'], ['', 'Sectional Time :', '23.53', '21.8410.52\xa0\xa011.32', '23.5611.52\xa0\xa012.04']]","['', 'Sectional Time :', '23.53', '21.8410.52\xa0\xa011.32', '23.5611.52\xa0\xa012.04']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20230917&no=01&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20230917&no=01&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20230917&no=01&lang=eng'}]"
2023-09-17,6,RACE 6 (24),"[['RACE 6 (24)', '', ''], ['', '', ''], ['Class 4 - 1600M - (60-40)', 'Going :', 'GOOD'], ['WAN CHAI HANDICAP', 'Course :', 'TURF - ""B"" Course'], ['HK$ 1,170,000', 'Time :', '(24.87)', '(47.85)', '(1:11.58)', '(1:35.09)'], ['', 'Sectional Time :', '24.87', '22.98', '23.7311.93\xa0\xa011.80', '23.5111.46\xa0\xa012.05']]","['', 'Sectional Time :', '24.87', '22.98', '23.7311.93\xa0\xa011.80', '23.5111.46\xa0\xa012.05']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20230917&no=06&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20230917&no=06&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20230917&no=06&lang=eng'}]"
2023-09-17,7,RACE 7 (25),"[['RACE 7 (25)', '', ''], ['', '', ''], ['Class 3 - 1200M - (80-60)', 'Going :', 'GOOD'], ['ADMIRALTY HANDICAP', 'Course :', 'TURF - ""B"" Course'], ['HK$ 1,860,000', 'Time :', '(23.84)', '(45.77)', '(1:08.51)'], ['', 'Sectional Time :', '23.84', '21.9310.89\xa0\xa011.04', '22.7411.11\xa0\xa011.63']]","['', 'Sectional Time :', '23.84', '21.9310.89\xa0\xa011.04', '22.7411.11\xa0\xa011.63']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20230917&no=07&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20230917&no=07&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20230917&no=07&lang=eng'}]"
2023-09-17,8,RACE 8 (26),"[['RACE 8 (26)', '', ''], ['', '', ''], ['Class 4 - 1200M - (60-40)', 'Going :', 'GOOD'], ['THE CHINESE RECREATION CLUB CHALLENGE CUP (HANDICAP)', 'Course :', 'TURF - ""B"" Course'], ['HK$ 1,170,000', 'Time :', '(23.68)', '(45.84)', '(1:09.32)'], ['', 'Sectional Time :', '23.68', '22.1610.94\xa0\xa011.22', '23.4811.25\xa0\xa012.23']]","['', 'Sectional Time :', '23.68', '22.1610.94\xa0\xa011.22', '23.4811.25\xa0\xa012.23']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20230917&no=08&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20230917&no=08&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20230917&no=08&lang=eng'}]"
2023-09-17,4,RACE 4 (22),"[['RACE 4 (22)', '', ''], ['', '', ''], ['Class 5 - 1400M - (40-0)', 'Going :', 'GOOD'], ['SO KON PO HANDICAP', 'Course :', 'TURF - ""B"" Course'], ['HK$ 875,000', 'Time :', '(13.66)', '(35.74)', '(58.74)', '(1:21.98)'], ['', 'Sectional Time :', '13.66', '22.08', '23.0011.52\xa0\xa011.48', '23.2411.24\xa0\xa012.00']]","['', 'Sectional Time :', '13.66', '22.08', '23.0011.52\xa0\xa011.48', '23.2411.24\xa0\xa012.00']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20230917&no=04&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20230917&no=04&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20230917&no=04&lang=eng'}]"
2023-09-17,5,RACE 5 (23),"[['RACE 5 (23)', '', ''], ['', '', ''], ['Class 4 - 1200M - (60-35)', 'Going :', 'GOOD'], ['THE TUNG WAH GROUP OF HOSPITALS CHALLENGE CUP (HANDICAP)', 'Course :', 'ALL WEATHER TRACK'], ['HK$ 1,170,000', 'Time :', '(23.26)', '(45.64)', '(1:09.35)'], ['', 'Sectional Time :', '23.26', '22.3810.91\xa0\xa011.47', '23.7111.57\xa0\xa012.14']]","['', 'Sectional Time :', '23.26', '22.3810.91\xa0\xa011.47', '23.7111.57\xa0\xa012.14']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20230917&no=05&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20230917&no=05&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20230917&no=05&lang=eng'}]"
2023-09-17,9,RACE 9 (27),"[['RACE 9 (27)', '', ''], ['', '', ''], ['Class 4 - 1400M - (60-40)', 'Going :', 'GOOD'], ['CENTRAL HANDICAP', 'Course :', 'TURF - ""B"" Course'], ['HK$ 1,170,000', 'Time :', '(13.45)', '(35.01)', '(58.30)', '(1:21.98)'], ['', 'Sectional Time :', '13.45', '21.56', '23.2911.74\xa0\xa011.55', '23.6811.53\xa0\xa012.15']]","['', 'Sectional Time :', '13.45', '21.56', '23.2911.74\xa0\xa011.55', '23.6811.53\xa0\xa012.15']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20230917&no=09&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20230917&no=09&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20230917&no=09&lang=eng'}]"
2023-09-17,10,RACE 10 (28),"[['RACE 10 (28)', '', ''], ['', '', ''], ['Class 3 - 1400M - (80-60)', 'Going :', 'GOOD'], ['SHEUNG WAN HANDICAP', 'Course :', 'TURF - ""B"" Course'], ['HK$ 1,860,000', 'Time :', '(13.40)', '(35.15)', '(57.97)', '(1:21.76)'], ['', 'Sectional Time :', '13.40', '21.75', '22.8211.44\xa0\xa011.38', '23.7911.46\xa0\xa012.33']]","['', 'Sectional Time :', '13.40', '21.75', '22.8211.44\xa0\xa011.38', '23.7911.46\xa0\xa012.33']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20230917&no=10&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20230917&no=10&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20230917&no=10&lang=eng'}]"
2023-09-17,2,RACE 2 (20),"[['RACE 2 (20)', '', ''], ['', '', ''], ['Class 5 - 1400M - (40-0)', 'Going :', 'GOOD'], ['SO KON PO HANDICAP', 'Course :', 'TURF - ""B"" Course'], ['HK$ 875,000', 'Time :', '(13.53)', '(35.54)', '(58.82)', '(1:22.37)'], ['', 'Sectional Time :', '13.53', '22.01', '23.2811.74\xa0\xa011.54', '23.5511.56\xa0\xa011.99']]","['', 'Sectional Time :', '13.53', '22.01', '23.2811.74\xa0\xa011.54', '23.5511.56\xa0\xa011.99']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20230917&no=02&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20230917&no=02&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20230917&no=02&lang=eng'}]"
2023-09-17,3,RACE 3 (21),"[['RACE 3 (21)', '', ''], ['', '', ''], ['Class 2 - 1000M - (100-80)', 'Going :', 'GOOD'], ['CAUSEWAY BAY HANDICAP', 'Course :', 'TURF - ""B"" Course'], ['HK$ 2,840,000', 'Time :', '(13.12)', '(33.87)', '(56.07)'], ['', 'Sectional Time :', '13.12', '20.7510.40\xa0\xa010.35', '22.2010.68\xa0\xa011.52']]","['', 'Sectional Time :', '13.12', '20.7510.40\xa0\xa010.35', '22.2010.68\xa0\xa011.52']","[{'label': 'Multi Angle Race Replay', 'url': '/racing/video/play.asp?type=replay-full&date=20230917&no=03&lang=eng'}, {'label': 'Pass Through Analysis', 'url': '/racing/video/play.asp?type=passthrough&date=20230917&no=03&lang=eng'}, {'label': 'Aerial Virtual Replay', 'url': '/racing/video/aerial.aspx?date=20230917&no=03&lang=eng'}]"
